address,balance
swtr16fqcz3ewgtvl9acqw5a7j0t25mupqkd4hyjduk,7526
swtr1fwedq94eq4jkztvp57jtrwq0f8n99nerjmh586,5495
swtr1y3ps4cv8grh2x0evvp06czyy0eu8evs6sn95yy,5079
swtr1u562az6kcfe5x4hu8rkpfg4y40wzd04jl4hk2q,6318
swtr1j2tl7mxf5y2xvv5ka0s5ykmuh5fsamragx57lj,4196
swtr1506kh8sh4lfv64u0vatx74jqdgnulh3ku0ydwc,4170
swtr1yg3tzqer5y3u7pemcx69kxjlc54lzqtfncadn2,6256
swtr1y4hvg6yaf2tlgr7r4yswcn9pllm56ap4japtqu,3780
swtr15u4ewe704mua23qvys3r6u66ysda65wcq088fm,3639
swtr1xzmdx9f78wvyzns3gffjczt4wrt0wxp4jt8czx,3909
swtr1w3n7aq82m5s0yv8arfsg2wrj4swa5cnyuw2lqt,3772
swtr15dfa5aa723c6k2w3wmxu8kejuem8458nkvrx4c,3573
swtr12dpsqaezkgjxf6pyh2a6v5sp68qjmfaggx9k3e,3533
swtr1h3xr6579zp7f3ctm6jq70rs6fv5rxtrqn4fpr4,5740
swtr12mse48nczrj64ctsllphqdgjaf3gfv9pp87rw6,3343
swtr1akyqvrlgwvnculwy4x7c480khur5sca9hgt44h,3394
swtr13pyygd02da76fpdft6dt84vc68jeuq89aa7vl2,3514
swtr1r482030jy0tc7pk98j40ze59cvyfxyc6kjmgvw,3149
swtr1cqfajzh9g0lxrqnqaqwcs2jfvlt69gk9gsxnlg,3143
swtr1ekput9c03wfpgthkmvwv4kkx3uqa78zyql25rl,3061
swtr1v252jcg5tgcmfzm6r5ulzhdsxque6w9ez9akvl,3077
swtr1fepmf7gar05szheav2a806xc2kpwvg6jhxymrd,2988
swtr1ga3sqpqfhx06qscfsktdc4a8jqz7wqavenxlag,3021
swtr1rsvxfd9f0w2ukzs8tj83jm0uw0c29ce6m8xnzk,2943
swtr1xcy6ne5k70r6n4uzdpyl9zutg4fcnhch5n6k7k,2899
swtr1pmeyzy6zehmt622wx0vctks0hvvv8ktk8g0uac,5152
swtr1v3agc8fpsja77748z992xfvxgj9l6mjsjk9hwg,2887
swtr1n5tvfxjan297hsyuztgr27vkkuh4ckezwlkmkf,2837
swtr1n5a2tdh3z4ykgkk4pxahzvqknss82w480mwkva,3006
swtr1ppm97v3avy53pm3ycxpxrxd6vjjkved7s23xeu,2807
swtr1sz5a5caqmgc02uz53a9txawv0fh7m4jys89wrw,2884
swtr14muccp5ru8gpeu98w0le862jmm7tvpr5dn9v9f,2634
swtr1ggkc8sv29y6wtq5l942kj85hzep5espxfggld6,2782
swtr1ulnmqr5qysdfpev5az3tfrr0ng0uzpyeqejf84,2688
swtr13cgw66868l7sq854c35ykytc4z4q9z56td4p5l,2555
swtr14jgjmzqvpngxd7y5zegnjl0guyvwclyy4q5vfq,2789
swtr12af5tejl76qhw4w8cgz2pwul3qm65dle5628n6,2524
swtr18e7tn7hyjwper6v862p5zf9p6mppf5p7enzvjd,2684
swtr1ueyx8q9yshjjupercacw5wcsc9hnwl3auk8f6z,2500
swtr1alc3qhr9deefq0d9dvqyazdvpuvmxhpqw8x5vr,2997
swtr1w7wc4a2ez33m9r54d3pmk4htuvmuqq85kfta0j,2535
swtr1wx4e4vhnn3qayjyf2qnf2mj707xnmdjxhf3umv,2631
swtr13vfc4gd2r76d62gx409yqaaetn4k8hy0xwemy3,2673
swtr14xa454mm2wx8zcen47nyclyk7z0h59f43rp94s,2457
swtr1w3s25rc95kk8r4qk88ykpp6wntr8t0ln62jj7q,2525
swtr1fj6ejyyxxf8lmqw75tj0lwnar4569y80peg225,2460
swtr1pjw3ulptev9fnx5m4ucdlrvwfe75cxhqm0vpg7,2489
swtr1tusk0u0ldnw0urfjlcachvsjshzrrj8v8udecj,2329
swtr1hmlw6zsnmqklcekvntescx6yeurzrtyr24htyy,2751
swtr14aydnvq8d80apmgpqxxk35cxfn3hfc7653fx22,2313
swtr107e72ldzfnugfc6yy3cfzwxj0f2trlkr5ttnfz,2328
swtr1r4hjsqjlhpcsgwl7s98vmlflnca5wdmcrxtgf4,2293
swtr1z9q35kv5twt53drml5c9psgfr6hhusftkls6rm,2289
swtr13usflfkvwxgcm3h6m7cemh2zrek862l6ewa09y,2279
swtr1ks28tnnfjq6d4jap6h8cr4zhqvj9rr82d7y48w,2260
swtr1hc27ay7w29rp8ck77pu4fssv6fulhttrf0ua4m,2434
swtr1h7staa4xqfhv0k0cwtfnfw79rq0s2rv57y9tly,2349
swtr1e0vk9ucunw0yw3va6gqnsu3el5cj7mh7g8qtc4,3929
swtr16uayh3va683lkkdcuyrr5sn8mvxl53dcvususn,2278
swtr1ag4d5xk2r8rrezady6hh32x5kjy9katjxhfdn8,2321
swtr15s5q32umktdapuqvc2cvru7m23h96y5g8ycmcz,2198
swtr1u6mqytht4ueyfcd0w3ghunwzm3pg2wnj83fd3g,2150
swtr1gz6lyymswqyqal33udjy85uscehaayv45deff2,2116
swtr1scnzqz9uwmy4g3nkrr489uujkv890ff8m9vmr3,2135
swtr1x6vprvta2vylpzmzu8c0y9h3y30uh9jdxl7tg2,2158
swtr1s73uj5tzca5n4j9ul6499hkxekm67tp6354tx2,2093
swtr178edvwkm5n694vqxzrurmq4844j0e4a3lf90x0,2224
swtr1pnh7djyllcpl9uegq7l5jgn5hktf3zdqtfv0pf,2386
swtr1sfdyxlfsasdruswkvxsxvn83e8yaysvetvzcyp,2037
swtr1a5nneuvhpxngm55gdnzt3u5ycgy3ljr7xaq8m4,2007
swtr18x3zfjpy0z2qefy8maht0ks6cwsz6l8070lyc8,2004
swtr1ujk2su80yl9drxl37hyq08up833xanhgn7za8q,1986
swtr1pcps0hr55qyvcwcvfl0ejga39etf2lqz3ykm6a,1993
swtr1csar4p5jzy73cl22pskut77psmtn4z947c26u8,1987
swtr14v56aqkyxfa3ll45ezvkx67v9tljtj6x96cx30,2060
swtr1sgrvvnrnmhyj7msyq4ykpx2ncnts8qqqpx58yw,1980
swtr1mrtcncp7zrtjp0me5y74vde6q3zakdkrejh29h,1941
swtr1hnw873vfyy3a5tnktsj3dtl82zv7vz6atn68gt,1935
swtr19qku448cvrd55g5ftr5qz8sw3jzkgmfz25wzdn,1918
swtr1m0x04jk36qkzxwpxyex8qrzxluc6ppgaw5uh05,2058
swtr19ra080sy4s8xeg07uqs6gggw5ctu8ptvww2xq2,1910
swtr1rr2a28dwacsxx5sqrwsgakac8rjz4xtt2x6wpp,1903
swtr1jdrawgv64urvud5vt32p8s82e7d9smhawps92a,1898
swtr1xftkem3yr57z6ys944tnratx6w4ddlpq5j5hmz,2197
swtr16wtlmv7jrl8mnqx50mkql0gjdkt0tpzgudw0wh,1915
swtr187alr23ck0ys7j4z7qdqthgltvxeqklt8ec9gr,1870
swtr1x8ycmhqp6n585eaql83vgvemm3ne80lte0ucmq,1980
swtr1aakfu5ve6vvhnp5f5smr7zvslwhjr4dhk6vll9,1960
swtr16hrwrzfshjksntlldln72htg5t990wnrvu56cp,1897
swtr1nt0hwyjdrgdr77q4a2s00tvcay4w28a9rmmtwc,1867
swtr18gg6h4s2z3340837yadrza26797f66dnmpgj03,1779
