address,original_vesting,cliff_days,months,spendable
swtr1j9a8xktrxxuar4w597un49wfzjurdf0acdmkef,18204465,360,24,0
swtr1hff468dk48qkmdwukjqgrvgl8y3v4a9wevz34g,18204465,360,24,0
swtr1mdszzrheka50wzfck32xt4d7h3t02s232z6a7v,9102232,360,24,0
swtr16mjv6zt7we2h6r2vzfzy4nlcvrpq3u0nj8ycdh,3034077,360,24,0
swtr12suf74c857crdradjhyepesp5u3uvuegvlrc7c,3034077,360,24,0
swtr10hkpwf5de00vq36whxneg853s9mdule2ltmydx,3034077,360,24,0
swtr1esnv2aw3hjvgt00xezd7qvlrf6zkcez6gx7zf0,3034077,360,24,0
swtr142g7n7je7d293yx6kv6vftup56lrxu86z5ja2j,1866262,360,24,0
swtr1myw4ypy4legr30cspv5k2a88t8u2t25x0vd8zn,1866262,360,24,0
swtr1jvwjdmuu4htc2zfzlgty83j0zel6mvwr2p6zfd,8810526,90,9,978947
swtr14tuxcnt2rvcjm9xs474u0z7r5hu4gnz0sgq4c4,8810526,90,9,978947
swtr17qkcd7hew02ustz5rmuehrkrtknqauch3j5u39,4405263,90,9,489473
swtr13eunrw3llwrg8m9qmu4z3y7trvt94dv6cd224u,1468421,90,9,163157
swtr13a0f5jj6330wvf3dptw2wyeh42cmvclqjqgc5e,1468421,90,9,163157
swtr132pvym24lgtpc4wes8uzyekgp5m2z3e2f40c6l,1468421,90,9,163157
swtr1vdt6xcmyfn3q5sq8xyxugksstljh5tf00583tm,1468421,90,9,163157
swtr1uwtggdmc5tt5dyph9sxwzpsxk83rjsy8l257ft,8000000,90,9,888888
swtr19wpsl57jpll9y52gegmj0xt2dnc0as9y6ejgnh,5760000,90,9,640000
swtr1gnsrzsnxety2hl93j8chtgxpkar6guk8qm5hc4,31000000,180,42,0
swtr1vtq87h4a2sgr5n4xf54plphpcwlhacdy7trv76,41850000,0,6,4650000
swtr1mz0rrvqu6y68eh2s2ya4hl3qphe5yzggjnws2d,15942363,360,24,0
swtr1peq7f6uhca3qjfgr5lswkpn3erxcyec2vucexe,44175000,0,24,1379425
swtr1tc97z9jjdjw875uelhur70caluxcqwn3elqdd3,42039999,90,9,4671111
swtr1hw4qwyw59cm60hvn99rwzceesh06fq6nkn25nh,15269860,0,9,230140
swtr142602t0cgdtg29dzd8qpwr6hggssz3zce3ur8w,13334,360,24,10500
swtr15pn6z8fjx5tlse3ca3h4aa2w40llxvykwx07yq,13334,360,24,0
swtr1tv2md6xjep2gn4wxezdwpayp9vmlnjqusxgze0,13334,360,24,0
swtr1ezzcet2qw97e5v9cy3rgs7rlc63zhmjhpc5mrp,13534,360,24,6400
swtr16vk394zq2s3uq3ud7jn7m6s5sfjagtp2tkfr99,2303,360,24,0
swtr1wlxaqtk9znzmaxvtvwql94xeescch8z5f9dml2,25160,360,24,10666
swtr1sgcqhy2jlfhmkap8gzfss925ejamanuu2wx4qk,13334,360,24,0
swtr1eqdjze7y4p9qgx3n6v6k3uufm595pxgdgnp29x,13334,360,24,0
swtr1xq7sllpgr3e4djq2qlj0dskc2nrxnjl6jqxnlu,13334,360,24,0
swtr1fvu7qzkfqx25qh5u2fzhzk5tr92rt943dkk9cm,13334,360,24,0
swtr1r99pfymt95eyh6hns9y7uwfugt77cd4j2nzfwk,13334,360,24,0
swtr1fcff7yx60s68v4yzaykd26du4gk35dffl5sdf2,28634,360,24,0
swtr1e2fu26q8vsmuluelutjwkh2jehjgju2k0rjgtu,1333,360,24,0
